num_facts,duration,error
42,0.0005416393280029297,7.646874430635562e-05
134,0.0021572113037109375,0.0004247377569589386
489,0.005480384826660157,4.302873466440393e-05
2665,0.038457059860229494,0.0041988921435889
17668,0.2555681705474854,0.0036869524013077044
81640,1.2109317779541016,0.007204035335571838
278331,4.169505214691162,0.06000607131249795
769187,11.533445501327515,0.13750456029848945
1830222,27.29258260726929,0.6007676366093587
3896506,60.30817351341248,1.0084833605535721
7613437,118.05782103538513,2.271596063389358
13895629,793.8641744613648,897.7233826496354
23992584,481.8106981277466,45.45206878459075
